title,author,year,link
Psychophysiology of P300.,['WS Pritchard'],1981,N/A
The P300 wave of the human event-related potential,['TW Picton'],1992,https://www.researchgate.net/profile/Terence-Picton/publication/21690394_The_P300_Wave_of_the_Human_Event-Related_Potential/links/5a26b8800f7e9b71dd0c6388/The-P300-Wave-of-the-Human-Event-Related-Potential.pdf
Neuropsychology of P300,['J Polich'],2012,N/A
Updating P300: an integrative theory of P3a and P3b,['J Polich'],2007,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2715154/
p300/CBP and cancer,"['NG Iyer', 'H Özdag', 'C Caldas']",2004,https://avesis.ankara.edu.tr/yayin/09635708-e93a-4e89-b154-6eee5abddb53/p300-cbp-and-cancer/document.pdf
P300 development across the lifespan: a systematic review and meta-analysis,"['R van Dinteren', 'M Arns', 'MLA Jongsma', 'RPC Kessels']",2014,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0087347&type=printable
"P300 in clinical applications: meaning, method, and measurement",['J Polich'],1991,N/A
P300 clinical utility and control of variability,['J Polich'],1998,N/A
Clinical application of the P300 event-related brain potential,['J Polich'],2004,N/A
"CBP/p300 in cell growth, transformation, and development","['RH Goodman', 'S Smolik']",2000,https://genesdev.cshlp.org/content/14/13/1553.full.pdf
Protein lysine acetylation by p300/CBP,"['BM Dancy', 'PA Cole']",2015,https://pubs.acs.org/doi/pdf/10.1021/cr500452k
Neural origins of the P300,"['M Soltani', 'RT Knight']",2000,N/A
The transcriptional coactivators p300 and CBP are histone acetyltransferases,"['VV Ogryzko', 'RL Schiltz', 'V Russanova', 'BH Howard']",1996,https://www.cell.com/cell/pdf/S0092-8674(00)82001-2.pdf
CBP and p300: HATs for different occasions,['E Kalkhoven'],2004,https://www.academia.edu/download/71411308/j.bcp.2004.03.04520211005-31213-ax3q4p.pdf
Slow wave and P300 in signal detection,"['DS Ruchkin', 'S Sutton', 'ML Kietzman', 'K Silver']",1980,N/A
p300/CBP/p53 interaction and regulation of the p53 response,['SR Grossman'],2001,https://febs.onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1432-1327.2001.02226.x
Recruitment of p300/CBP in p53-dependent signal pathways,"['ML Avantaggiati', 'V Ogryzko', 'K Gardner', 'A Giordano']",1997,https://www.cell.com/cell/pdf/S0092-8674(00)80304-9.pdf
p300 and CBP: partners for life and death,"['A Giordano', 'ML Avantaggiati']",1999,N/A
On the neural origin of P300 in man,"['CC Wood', 'T Allison', 'WR Goff', 'PD Williamson']",1980,N/A
CREB-binding protein and p300 in transcriptional regulation,"['N Vo', 'RH Goodman']",2001,https://www.jbc.org/article/S0021-9258(20)78783-1/pdf
